# Time,Animal,Area1,Area2,Area3,Area4,Group
DAY1,A204,16.83861112888942,22.480375486225952,24.082704078358294,23.601233087364054,GROUPA
DAY11,A204,5.970561592619009,15.284501641731918,10.402377616718493,8.074936057583475,GROUPA
DAY3,A204,27.832389113464306,22.29288251737065,26.400449727671973,25.17209518428075,GROUPA
DAY5,A204,17.03231657461315,22.72869890567493,28.714035900181198,24.264854468723556,GROUPA
DAY7,A204,15.492732538619697,20.448791912180308,23.087173611719848,18.495467960912748,GROUPA
DAY9,A204,11.007461490805396,18.4890543056338,17.02895090573644,13.881361424242916,GROUPA
